"Review","mean_kappa","sd_kappa","min_kappa","max_kappa"
"Adan",0.308735166223284,0.241131210178921,-0.0287769784172663,0.646464646464646
"Arfaie",NA,NA,NA,NA
"Giuliani",0.0727023315280434,0.173259037333385,-0.106194690265487,0.3142144638404
"Wassenaar",0.0234756530665852,0.14711008076551,-0.142857142857143,0.297872340425532
"West",0.0855217713010128,0.14337175375567,-0.041666666666667,0.370786516853933
